System ID,,"4483C11306J"
Method name only,,"Tension_Round_Heat_Treat_NEW"
Test type,,"Tension"
Sample file name,,"N02C4340WQ"
Last test date,,"Monday, October 14, 2024"
Last test time,,"6:00:13 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"C"
Material,,"4340"
Heat Treatment,,"WQ"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.27"
Grip Diameter,(mm),"12.42"
Rockwell Hardness,,"39.2"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"7.22"
Fracture Notes and Location,,"break is flat"
Notes During Test,,"broke without warning"

Results Table 1
,,"1"
Maximum Force,(kN),"56.18"
Maximum Strain,(%),"1.006"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.3933","0.000009650"
"0.50","0.03","1.301","0.0001366"
"1.00","0.07","2.295","0.0002770"
"1.50","0.10","3.067","0.0003836"
"2.00","0.13","3.568","0.0004615"
"2.50","0.17","3.940","0.0005292"
"3.00","0.20","4.300","0.0005858"
"3.50","0.23","4.659","0.0006381"
"4.00","0.27","5.024","0.0007048"
"4.50","0.30","5.396","0.0007721"
"5.00","0.33","5.772","0.0008202"
"5.50","0.37","6.155","0.0008894"
"6.00","0.40","6.536","0.0009399"
"6.50","0.43","6.919","0.001001"
"7.00","0.47","7.305","0.001063"
"7.50","0.50","7.699","0.001113"
"8.00","0.53","8.097","0.001179"
"8.50","0.57","8.496","0.001225"
"9.00","0.60","8.900","0.001310"
"9.50","0.63","9.306","0.001365"
"10.00","0.67","9.716","0.001423"
"10.50","0.70","10.13","0.001480"
"11.00","0.73","10.54","0.001540"
"11.50","0.77","10.96","0.001605"
"12.00","0.80","11.37","0.001667"
"12.50","0.83","11.79","0.001727"
"13.00","0.87","12.22","0.001781"
"13.50","0.90","12.64","0.001857"
"14.00","0.93","13.07","0.001914"
"14.50","0.97","13.50","0.001972"
"15.00","1.00","13.93","0.002041"
"15.50","1.03","14.36","0.002091"
"16.00","1.07","14.80","0.002156"
"16.50","1.10","15.24","0.002230"
"17.00","1.13","15.68","0.002294"
"17.50","1.17","16.12","0.002353"
"18.00","1.20","16.57","0.002412"
"18.50","1.23","17.02","0.002481"
"19.00","1.27","17.47","0.002548"
"19.50","1.30","17.92","0.002619"
"20.00","1.33","18.38","0.002682"
"20.50","1.37","18.83","0.002758"
"21.00","1.40","19.29","0.002819"
"21.50","1.43","19.75","0.002885"
"22.00","1.47","20.21","0.002965"
"22.50","1.50","20.67","0.003030"
"23.00","1.53","21.14","0.003101"
"23.50","1.57","21.61","0.003178"
"24.00","1.60","22.08","0.003249"
"24.50","1.63","22.56","0.003323"
"25.00","1.67","23.03","0.003394"
"25.50","1.70","23.51","0.003466"
"26.00","1.73","23.99","0.003550"
"26.50","1.77","24.47","0.003621"
"27.00","1.80","24.95","0.003702"
"27.50","1.83","25.44","0.003773"
"28.00","1.87","25.92","0.003846"
"28.50","1.90","26.41","0.003928"
"29.00","1.93","26.90","0.004005"
"29.50","1.97","27.39","0.004081"
"30.00","2.00","27.88","0.004162"
"30.50","2.03","28.37","0.004241"
"31.00","2.07","28.87","0.004310"
"31.50","2.10","29.36","0.004393"
"32.00","2.13","29.86","0.004472"
"32.50","2.17","30.36","0.004549"
"33.00","2.20","30.87","0.004632"
"33.50","2.23","31.37","0.004723"
"34.00","2.27","31.88","0.004808"
"34.50","2.30","32.39","0.004894"
"35.00","2.33","32.89","0.004983"
"35.50","2.37","33.41","0.005070"
"36.00","2.40","33.92","0.005167"
"36.50","2.43","34.43","0.005253"
"37.00","2.47","34.95","0.005347"
"37.50","2.50","35.46","0.005435"
"38.00","2.53","35.97","0.005532"
"38.50","2.57","36.49","0.005637"
"39.00","2.60","37.00","0.005731"
"39.50","2.63","37.52","0.005827"
"40.00","2.67","38.03","0.005929"
"40.50","2.70","38.56","0.006024"
"41.00","2.73","39.07","0.006133"
"41.50","2.77","39.59","0.006242"
"42.00","2.80","40.11","0.006345"
"42.50","2.83","40.63","0.006445"
"43.00","2.87","41.15","0.006543"
"43.50","2.90","41.67","0.006648"
"44.00","2.93","42.19","0.006751"
"44.50","2.97","42.71","0.006865"
"45.00","3.00","43.23","0.006974"
"45.50","3.03","43.75","0.007090"
"46.00","3.07","44.27","0.007187"
"46.50","3.10","44.79","0.007307"
"47.00","3.13","45.32","0.007420"
"47.50","3.17","45.84","0.007532"
"48.00","3.20","46.36","0.007646"
"48.50","3.23","46.88","0.007768"
"49.00","3.27","47.40","0.007887"
"49.50","3.30","47.92","0.007997"
"50.00","3.33","48.44","0.008111"
"50.50","3.37","48.96","0.008242"
"51.00","3.40","49.48","0.008362"
"51.50","3.43","50.00","0.008484"
"52.00","3.47","50.52","0.008599"
"52.50","3.50","51.04","0.008727"
"53.00","3.53","51.55","0.008853"
"53.50","3.57","52.07","0.008972"
"54.00","3.60","52.59","0.009102"
"54.50","3.63","53.10","0.009245"
"55.00","3.67","53.62","0.009377"
"55.50","3.70","54.13","0.009513"
"56.00","3.73","54.65","0.009647"
"56.50","3.77","55.16","0.009785"
"57.00","3.80","55.67","0.009917"
"57.50","3.83","56.18","0.01006"
"58.00","3.87","-0.08428","-0.1079"
"58.50","3.90","-0.07955","-0.1079"
"59.00","3.93","-0.07710","-0.1080"
"59.50","3.97","-0.07431","-0.1080"
"60.00","4.00","-0.07204","-0.1080"
"60.50","4.03","-0.07021","-0.1080"
"61.00","4.07","-0.06866","-0.1080"
"61.50","4.10","-0.06671","-0.1080"
"62.00","4.13","-0.06607","-0.1080"
"62.50","4.17","-0.06524","-0.1080"
"63.00","4.20","-0.06364","-0.1080"
"63.50","4.23","-0.06320","-0.1080"
"64.00","4.27","-0.06186","-0.1080"
"64.50","4.30","-0.06115","-0.1080"
"65.00","4.33","-0.06134","-0.1080"
"65.50","4.37","-0.06026","-0.1080"
"66.00","4.40","-0.06034","-0.1080"
"66.47","4.43","-0.05970","-0.1080"

