System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-C-6061-LOW"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:38:04 PM"
Course,,"N"
Lab Section Number,,"02"
Group,,"C"
Material,,"6061"
Weld Type,,"Low Power Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"17.68"
Specimen Thickness t,(mm),"9.53"
Weld Thickness tw,(mm),"15.39"
Specimen Gage Length,(mm),"59.29"
Fracture Type and Location,,"Large unwelded surface"
Unwelded Gap Thickness tg (mm),,"8.82"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.946"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","0.2156"
"0.50","0.03","0.5536"
"1.00","0.06","0.7775"
"1.50","0.10","0.9390"
"2.00","0.13","1.077"
"2.50","0.16","1.211"
"3.00","0.20","1.344"
"3.50","0.23","1.476"
"4.00","0.26","1.609"
"4.50","0.30","1.744"
"5.00","0.33","1.878"
"5.50","0.36","2.015"
"6.00","0.40","2.154"
"6.50","0.43","2.290"
"7.00","0.46","2.424"
"7.50","0.50","2.558"
"8.00","0.53","2.687"
"8.50","0.56","2.821"
"9.00","0.60","2.954"
"9.50","0.63","3.090"
"10.00","0.66","3.231"
"10.50","0.70","3.368"
"11.00","0.73","3.501"
"11.50","0.76","3.634"
"12.00","0.80","3.766"
"12.50","0.83","3.885"
"13.00","0.86","3.946"
"13.50","0.90","2.627"
"14.00","0.93","2.842"
"14.50","0.96","3.006"
"15.00","1.00","3.136"
"15.50","1.03","3.207"
"16.00","1.06","3.265"
"16.50","1.10","3.264"
"17.00","1.13","3.220"
"17.50","1.16","3.173"
"18.00","1.20","2.252"
"18.50","1.23","1.165"
"19.00","1.26","0.3254"
"19.50","1.30","-0.0007538"
"20.00","1.33","-0.0005103"
"20.50","1.36","-0.0008459"
"21.00","1.40","-0.0004585"
"21.50","1.43","-0.0002764"
"22.00","1.46","-0.0003670"
"22.50","1.50","-0.0002796"
"23.00","1.53","-0.00003816"
"23.20","1.54","-0.00008781"

